How to draw smooth curves of different radius;387931;3;11619257;2;16465515;2;34664524;2;51742;1
What is the mechanism behind a double acting engine;1074604;3;;;;;;;;
Who invented the double acting engine;1074604;3;;;;;;;;
How to present data about 3D-object;2612376;3;2328909;1;;;;;;
What is CAD;1277905;3;21482414;2;19821042;1;2612376;1;;
How to visualize buildings;2328909;3;585887;2;1105256;1;;;;
Who is europes biggest writing instrument manufacturer;1982472;3;;;;;;;;
What does aerial viewpoint mean;2872234;3;21482414;2;16960713;1;;;;
What is T-Square software;8624486;3;387924;1;;;;;;
How to check straightness;147854;3;;;;;;;;
What information is needed in a house blueprints;10051247;3;99794;1;21482414;1;;;;
What tools can be used to draw perspective drawings;5380409;3;380405;2;54952;2;21482414;2;;
What is the heart of distance;11946947;3;;;;;;;;
How documents were stored before digital age;8403499;3;166105;1;;;;;;
What is projected tolerance zone;15565331;3;468893;2;171414;1;;;;
Where phrase back to the drawing board was coined;51742;3;171414;1;;;;;;
What is a good drawing frame;51742;3;171414;2;5380409;1;24877113;1;;
How to record or present old discovered items;16960713;3;2009015;1;;;;;;
How logarithmic scales are used;4826806;3;;;;;;;;
What is exact dimension;15565288;3;21482414;1;;;;;;
How to develop unique letters;19821042;3;171414;2;;;;;;
How to illustrate object assembly;2795027;3;2328909;2;171414;1;2612376;1;21529160;1
How to draw circles in technical drawing;492445;3;25366628;2;147854;1;51742;1;;
What are the instructions to build a wall;20371178;3;23030729;2;21482414;2;;;;
What are the rools for excavation plans;2009015;3;16960713;1;;;;;;
What are the requirements of patent illustrations;21529160;3;54952;2;2795027;1;;;;
What devices are there to calculate area size;1103376;3;2009015;0;;;;;;
How would one describe structural integrity to a contractor;23030729;3;51742;2;10051247;1;51742;1;;
Who invented the silhouette machine;24135699;3;;;;;;;;
How to draw big curves in construction environment;16465515;3;387931;2;34664524;2;;;;
How identical letters could be written at the same time in the 19th century;24877113;3;24651;1;;;;;;
Where electricians look instructions;23030862;3;;;;;;;;
Describe the parts of a T-Square instrument;387924;3;;;;;;;;
How is feature location defined in engineering drawings;5967883;3;468893;2;23030775;1;;;;
What defines the engineering rules of tolerances;468893;3;5967883;1;;;;;;
How map distances are converted from paper;25628243;3;;;;;;;;
What rules apply to techical drawing;27856340;3;;;;;;;;
What instrument would one use to manually draw parallel  orthogonal or inclined lines from a preset angle;26262533;3;147854;2;387924;2;1982472;1;;
Who invented the device to draw large diameter circles without using circle center;25366628;3;;;;;;;;
What is the definition of rendering;1105256;3;2328909;1;;;;;;
How was ship lines transferred from plans into creation;11619257;3;387931;2;;;;;;
How to explain the process of architectural drawing;21482414;3;18654902;1;10129174;1;;;;
What instructions describe the systems mechanics;23030775;3;23030729;1;;;;;;
How were document copies made before ink or laser printers and scanners;1258941;3;99794;3;;;;;;
How to manually measure angles;837995;3;2075882;2;;;;;;
What is considered to be the standard for products descriptions;31345089;3;171414;2;;;;;;
How manufacturing part instructions can be portrayed;171414;3;54952;1;;;;;;
How scaling or different documenting standars are related;171414;3;54952;1;;;;;;
What instructions are incorporated in manufacturing documents;171414;3;54952;1;;;;;;
